synindex,class,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54
0,0,0.0337037,0.379167,0.102778,0.182729,0.42185,0.357549,0.0940437,0.0686813,0.135135,135.245,141.899,158.406,13.3248,13.9823,14.765,-5.31738,-5.0817,-5.64649,79.1826,0.46284,-5.44583,4.42188,0.65594,1.02635,-8.01022,-0.557288,2.31131,75.34,0.125,-11.5428,28.0253,0.105888,5.26815,0.158604,7.61835,0.304299,80.967,0.0833333,100.981,53.456,0.605778,23.4361,10.8873,156.251,34.1312,0.528382,0.346975,0.0351835,68.8992,0.920404,12.3785,19.7067,0.0935359,0.627223
1,0,0.232703,0.994444,0.302083,0.558358,0.877742,0.957826,0.26107,0.0224814,0.225371,186.208,168,134.132,61.4226,59.4695,48.6507,-1.29769,-1.17539,-0.859695,83.063,0.491287,10.9904,15.4459,2.39204,5.21729,-1.61607,0.922741,0.148752,94.1342,0.483333,-1.65136,1.15423,0.154686,26.1152,0.577119,0.820461,-0.473964,193.649,0.670833,103.167,43.2102,2.11711,41.2025,10.6829,34.5007,5.45703,0.667306,0.350633,0.027398,120.798,-1.24256,36.536,11.0507,0.0564062,1.01846
2,0,0.0924769,0.594444,0.239583,0.778093,0.88131,0.488895,0.227602,0.0368586,0.35067,39.6218,30.3528,16.933,28.0145,23.8031,14.4571,0.924427,1.11448,1.84236,37.7981,2.11949,15.2361,14.8762,3.17413,6.81509,0.157034,-1.04488,1.45094,84.8677,0.258333,-9.62278,74.4457,0.831934,1.17569,0.280205,3.54699,-12.4507,67.7979,0.954167,22.2779,12.3991,-1.45085,43.1076,5.53741,136.767,35.2708,0.550886,0.487077,0.0677346,45.6056,-0.0958713,36.1133,7.14732,0.026441,0.865008
3,0,0.113981,0.297917,0.613889,0.891829,0.768054,0.252385,0.540689,0.0300569,0.376768,76.6295,74.8226,65.5395,27.0022,26.7697,26.024,1.39613,1.502,1.76249,60.0166,-1.069,4.96998,8.52342,0.783371,1.56162,0.681349,0.0554768,0.212084,75.2104,0.485417,-0.43563,49.9227,0.568281,10.9268,0.105888,-5.3908,0.581603,72.2816,0.0638889,78.6148,11.302,0.192893,61.4767,3.01361,79.4231,57.5946,0.72445,0.269401,0.0804063,21.9697,2.27251,33.4663,8.22459,0.149103,0.0376196
4,0,0.0182755,0.180556,0.127083,0.740954,0.55673,0.166039,0.107874,0.0633312,0.203531,83.4734,84.4696,50.7454,31.8193,32.6959,22.3212,1.17137,0.819171,1.85709,62.2029,-5.70847,16.9327,9.73073,4.23651,7.2736,0.418552,0.500144,0.546594,52.409,0.314583,1.52237,47.4857,0.209191,14.674,0.405406,5.13955,0.758658,94.9746,0.583333,87.8351,46.3608,1.37791,12.5288,9.85857,37.5128,64.1191,0.459267,0.254426,0.0830728,136.305,0.173306,43.8048,10.0813,0.00579861,0.558797
5,1,0.216545,0.477083,0.758333,0.833515,0.507752,0.367595,0.688857,0.0236244,0.401459,159.091,163.494,169.159,73.3597,72.7322,71.9789,0.121024,0.0226289,-0.211723,81.403,-0.129524,-1.91902,16.0108,2.07261,6.40153,-0.35515,-0.029291,-1.61148,53.0601,0.325,-0.196782,47.2736,0.112835,16.7353,0.0890261,6.26664,-2.6481,135.345,0.213889,110.525,36.2314,-1.10942,23.9615,9.41695,121.432,20.2128,0.46447,0.285375,0.172494,106.376,-1.69405,52.0256,18.3874,0.0256655,0.582308
6,1,0.00943866,0.139583,0.125,0.147135,0.367011,0.128093,0.103206,0.109749,0.459038,164.662,148.541,124.779,51.0317,48.9065,41.831,-1.69694,-1.64613,-1.55865,79.2867,1.06319,8.87002,14.547,2.20629,5.00446,-1.91219,3.84292,1.70424,87.7934,0.633333,4.03352,14.0314,0.0900647,14.4305,0.154598,-2.41269,-0.00185021,81.2421,0.258333,46.6807,24.35,3.58768,13.564,3.27526,67.8252,27.7793,0.211926,0.387943,0.0314544,31.1107,-0.121211,24.8634,15.3065,0.0181887,1.23516
7,1,0.122755,0.495833,0.347222,0.269838,0.692076,0.446186,0.291956,0.0295116,0.286992,87.0069,78.1131,91.6049,40.9303,38.2014,39.1682,0.498857,0.814198,0.726836,60.9809,5.42396,-5.55816,13.2319,4.133,7.25574,-0.407149,1.82279,-1.03352,68.2271,1,-1.72525,4.32771,0.19114,3.38499,0.413341,0.450533,1.2123,116.295,0.40625,237.847,15.3284,1.71983,52.586,14.5693,74.5098,40.6358,0.51487,0.261735,0.0280167,82.522,1.14242,60.2552,10.2225,0.266516,0.171862
8,1,0.0266667,0.645833,0.0638889,0.445515,0.975184,0.619263,0.0569307,0.125868,0.353717,116.102,102.842,100.986,50.8584,54.3556,50.0665,0.107289,0.344168,0.309817,67.7279,4.18154,1.76926,15.44,4.5688,4.11934,-0.237708,1.0211,-0.893347,90.8944,0.0729167,-3.80394,49.6217,0.468076,2.89022,0.427867,-3.24777,-23.2298,37.8941,0.08125,179.129,34.3034,0.457321,30.9224,11.4871,175.32,36.9912,0.477104,0.461731,0.0268124,38.912,0.198707,46.3044,23.7902,0.989774,0.32726
9,1,0.00755208,0.0979167,0.105556,0.417684,0.742652,0.0902915,0.0828715,0.0996169,0.269317,77.7119,66.7364,68.3172,48.598,47.8591,46.9075,0.50545,0.564283,0.599357,54.2249,5.85219,0.202818,19.3968,5.28404,6.47965,-0.276392,2.06564,0.229702,58.5226,0.05,-2.79243,45.2608,0.0558597,9.95568,0.128709,0.635473,1.49212,76.9131,0.544444,164.399,30.0091,0.0618064,51.6152,10.5454,152.072,36.824,0.602115,0.297126,0.0179397,116.641,4.92506,44.4047,10.3583,0.0337384,0.11463
10,0,0.174479,1,0.225,0.52005,0.101058,1.01681,0.203623,0.0454395,0.224537,217.064,221.432,231.114,20.9492,17.4004,15.5964,-0.980789,-1.83226,-3.24041,94.5414,0.112045,-2.47555,3.1766,0.79574,1.73082,-2.61776,1.7105,-0.656604,77.9171,1,3.68765,36.216,0.209286,15.0104,0.387582,2.45296,-0.160156,123.061,0.583333,129.038,8.05411,0.358579,34.1201,17.0925,206.214,60.9893,0.747534,0.338796,0.082001,149.266,1.59733,54.4991,3.29111,0.501586,0.215173
11,0,0.0555613,0.7625,0.138889,0.50299,0.680245,0.699513,0.122205,0.0806166,0.475355,83.6357,79.2054,82.2342,22.1531,23.3419,22.8174,1.3379,1.28254,1.27213,62.3034,2.02819,-0.920369,7.00272,1.11663,0.807271,0.887892,0.519021,-0.208745,77.2377,0.55,0.0594688,15.8475,0.266658,10.5145,0.540382,-2.78924,-0.755359,144.498,0.225,161.386,39.2822,1.38186,20.6472,12.9491,47.081,63.997,0.396074,0.340394,0.0215523,51.9801,0.193188,7.05556,0.330237,0.0809433,0.158669
12,0,0.0374479,0.3125,0.205556,0.869776,0.524656,0.305703,0.145493,0.0598053,0.417027,144.638,146.104,147.41,15.2329,14.0056,11.0836,-0.673459,-0.884683,-1.42176,80.1906,-0.155607,-0.566263,3.24288,0.356291,1.3259,-1.65549,1.24882,-0.116607,73.2751,0.0666667,-0.114995,55.5622,0.226169,7.33342,0.499595,-16.1134,-0.87148,192.951,0.158333,138.497,22.8843,3.36489,2.54533,13.5967,94.974,54.3772,0.490041,0.102939,0.050068,96.1335,0.0912022,60.6405,14.3397,0.0679861,1.07926
13,0,0.341133,0.86875,0.596875,0.349441,0.741981,0.74241,0.522879,0.0278827,0.342122,149.418,124.511,93.5335,23.7478,21.2923,16.8525,-0.66184,-0.242329,0.430226,75.7822,1.97778,13.3832,5.32992,0.827387,2.99812,-0.661761,0.154726,-1.2037,71.5224,0.916667,1.73386,20.4147,1.07077,16.4951,0.344978,0.630052,-3.03518,63.3689,0.485417,252.787,57.2116,1.15525,2.3766,10.7623,69.9376,45.386,0.510696,0.439978,0.0294178,122.09,-0.00482778,56.0081,18.6761,0.0444792,0.0424644
0,0,0.648113,1,0.791667,0.487195,0.34094,1.05618,0.712455,0.0166527,0.18133,95.4803,121.332,167.988,29.5901,29.2416,23.4099,0.749586,0.641085,0.264793,73.4651,-0.146922,-17.1166,7.07629,1.03577,4.09555,0.376151,0.176601,0.786524,85.0855,0.2,20.3979,48.2284,0.0637694,1.55585,0.0938343,5.13155,1.25558,185.433,0.275,120.353,42.707,2.04287,3.02813,26.2997,70.3269,9.02971,0.856668,0.261811,0.0682088,164.748,1.24727,2.65623,13.6534,0.298451,1.22159
1,0,0.108403,0.416667,0.447222,0.817144,0.789811,0.392135,0.38717,0.0420137,0.418261,209.17,200.128,134.663,36.8572,37.5016,30.6194,-1.9469,-2.0296,-0.550143,89.9321,-4.33244,18.7581,8.06128,3.44541,5.49437,-2.88941,1.0918,-0.710012,47.7688,1,9.02549,15.785,0.205203,17.2986,0.385776,3.54583,1.89665,54.3017,0.554167,157.384,73.5545,0.0834963,11.3514,18.4733,65.53,63.0182,0.305646,0.232775,0.0179566,64.8575,2.36731,57.703,6.6048,0.0279398,0.206932
2,0,0.12515,0.483333,0.365625,0.784402,0.287878,0.460277,0.305889,0.0353223,0.291814,175.73,188.133,208.227,22.5518,19.4247,15.0427,-0.244292,-0.120857,0.124554,88.4661,-0.308005,-5.87093,3.69557,0.630442,2.44145,-0.266843,-0.119248,-0.677944,48.7044,0.7375,0.46284,21.9409,0.232254,4.50404,0.575335,-6.97952,0.568099,113.283,0.327778,98.6017,37.6106,-0.12971,14.4675,2.2493,97.7973,14.4818,0.761883,0.272051,0.0516428,84.2793,-0.0820625,65.1433,8.4318,0.213924,0.998136
3,0,0.121887,0.508333,0.825,0.836856,0.662518,0.322091,0.74128,0.0621498,0.709361,150.507,120.788,83.6053,19.7826,18.6766,16.7055,-0.58464,-0.252792,-0.231657,75.0725,2.3616,16.8962,4.84841,1.38469,3.66418,-1.50427,0.452186,0.569397,42.5889,0.110417,-0.973458,54.8612,0.16897,16.6516,0.182743,-6.31658,0.606112,80.0704,0.147222,84.3704,73.6696,2.87072,55.0648,6.79661,66.1292,57.4957,0.425165,0.393035,0.0211341,183.596,-0.535836,59.1988,5.68339,0.302801,0.162455
4,0,0.260845,1,0.325,0.521244,0.86634,1.04403,0.284768,0.0279762,0.1974,79.7158,97.1505,49.2858,17.8985,18.6478,15.5561,0.586841,0.293535,1.33488,65.6065,-13.0221,21.7097,5.49219,2.81048,5.45413,-0.117921,0.35708,-0.0368858,90.7634,1,16.1505,43.5241,0.59154,0.67343,0.132124,-5.6585,1.08885,60.7542,0.11875,188.385,5.43617,-0.0351639,41.1832,9.64055,93.5381,22.8954,0.930461,0.145347,0.118527,152.867,0.340707,53.2151,12.8743,0.0770255,0.723399
5,1,0.0382639,0.275,0.15,0.869989,0.775862,0.263786,0.145367,0.0532365,0.0723906,136.496,117.889,97.2355,23.2375,22.6539,20.3681,0.324862,0.231633,0.227452,73.9588,1.87951,9.31921,5.69294,0.823124,2.02542,-0.151134,0.436587,2.24525,94.2706,0.361111,0.526253,17.673,0.170279,14.2143,0.38055,14.8448,-1.3091,127.361,0.50625,42.8045,57.6718,-0.998098,50.7393,15.1039,185.346,9.81362,0.393015,0.610877,0.0196813,116.133,-0.265915,57.2645,7.87704,0.0317072,1.02576
6,1,0.0702662,0.283333,0.277778,0.142716,0.135897,0.262143,0.268692,0.035579,0.107206,252.859,250.746,251.093,2.24653,2.88894,5.37739,-13.1994,-14.1166,-9.17462,99.4222,0.334974,0.042115,0.46302,0.255064,0.781006,-14.362,-4.10494,6.34791,86.8516,1,5.42592,47.5283,0.371842,14.1599,0.2366,4.51158,-0.889714,142.263,0.561111,116.627,26.8487,-0.341811,17.0792,10.6798,143.354,8.11803,0.541537,0.483665,0.0151372,95.6977,0.500703,15.2105,9.55091,0.112326,0.0807239
7,1,0.53379,1,0.561111,0.508529,0.733502,0.990287,0.539314,0.0147335,0.0486902,126.908,112.394,108.233,36.3273,34.9986,34.3136,-0.201716,-0.098024,-0.0789817,71.9158,3.15911,2.90414,10.047,2.02332,2.30697,-1.08441,0.781851,0.807312,78.128,1,-0.688451,58.7141,0.226263,19.0388,0.117867,-16.6498,1.74367,107.702,0.441667,69.8767,51.8483,1.19382,13.8315,12.45,149.226,33.2454,0.531229,0.459794,0.093414,125.725,-0.303478,18.9824,8.11919,0.043831,0.278781
8,1,0.100237,0.545833,0.261111,0.573777,0.788628,0.467278,0.219634,0.0319843,0.296695,102.588,80.4665,96.5188,50.0632,37.3615,74.9381,-0.626239,-0.754182,1.07536,62.0648,11.0518,-0.00499468,15.909,13.9801,35.8926,-1.62759,1.77476,-1.14709,85.5856,0.538889,4.92335,16.6047,0.10495,10.1199,0.401555,-4.99145,0.0804833,209.037,0.0944444,197.525,71.5548,9.4662,69.7035,5.54653,78.4077,17.5879,0.537611,0.158175,0.0307607,107.749,-0.971163,16.385,16.0368,0.145029,0.071691
9,1,0.151001,0.970833,0.275,0.355705,0.895316,0.715442,0.239234,0.0412371,0.434408,171.473,168.267,165.937,19.7299,19.5418,18.5401,-0.530257,-0.452912,-0.387846,84.9348,0.387124,0.844607,4.01905,0.848831,0.910484,-1.02142,0.0830208,0.319325,55.8023,1,-1.34388,11.5669,0.323647,25.8585,0.209587,-1.48346,1.54765,143.205,0.375,96.6492,19.6601,-1.24536,15.2985,13.4777,167.142,23.8064,0.131121,0.218333,0.023525,97.2056,-1.52222,29.8048,14.0978,0.0823727,0.559753
0,0,0.776829,1,1,0.521466,0.520159,1.09596,1.04971,0.023563,0.223171,26.5632,27.9216,6.82833,31.5876,30.6526,10.6251,3.5597,2.58485,6.30423,33.2741,-7.10692,24.3623,15.717,8.74164,14.8754,0.947838,-0.461731,0.422975,92.7653,0.370833,0.929134,1.34865,0.303356,1.86296,0.599432,7.36284,1.68316,110.327,0.465625,249.268,32.7719,-1.66608,53.7722,16.3001,28.0999,22.429,0.367605,0.271316,0.0261339,253.988,-0.0908537,34.0994,14.7968,0.134444,0.932684
1,0,0.00706019,0.1,0.104167,0.601396,0.301851,0.0878617,0.0840235,0.1,0.322222,184.553,170.288,82.8115,40.5004,40.8416,38.6585,-0.28025,-0.219896,-0.0677627,84.0675,-6.1532,32.1718,8.2836,3.29005,15.3516,-0.566676,0.754852,-0.0630575,87.1001,0.2,0.294981,37.7298,0.20182,11.4328,0.375323,-3.31208,-0.759324,159.192,0.1875,128.628,29.7308,2.95887,25.3187,5.61781,134.69,13.6145,0.415121,0.458445,0.0890787,102.987,-0.601686,31.5756,5.50866,0.00833912,0.616434
2,0,0.367891,0.991667,0.44375,0.561845,0.762246,0.887389,0.42982,0.0194486,0.163984,208.36,202.053,183.237,27.5753,28.9002,25.1579,-1.57635,-1.57466,-1.65407,91.055,-0.55512,5.08796,5.63464,0.948777,1.86847,-2.41793,2.71381,-0.068993,63.4525,1,-2.28948,14.781,0.28228,10.9882,0.302046,1.06691,0.212657,99.3265,0.447917,147.041,60.8361,0.695983,34.4755,13.3278,253.065,30.7383,0.468294,0.536471,0.0875369,169.184,0.381742,36.7361,6.03813,0.105093,0.19666
3,0,0.216626,1,0.297222,0.485761,0.110216,1.00749,0.21973,0.0306681,0.271164,112.32,141.492,190.3,10.2581,9.19491,9.16147,-0.347387,-0.614019,-0.776007,78.6674,-0.702548,-15.9776,2.12817,0.772183,1.43732,-0.836461,-0.184809,0.057961,93.5653,0.99375,5.62941,9.90016,0.454948,16.3597,0.323713,1.8466,0.302937,92.122,0.15625,109.611,3.02513,-0.123887,51.4792,1.14838,91.8567,39.5971,0.468693,0.400145,0.0130545,150.716,0.710174,21.7214,15.1071,0.419909,0.0930867
4,0,0.239329,0.438889,0.75625,0.168822,0.602172,0.352828,0.726032,0.0252684,0.278934,178.596,180.544,187.589,19.3666,19.0229,18.9683,-3.87732,-4.10435,-4.31524,87.2197,0.326957,-1.97699,4.58022,0.517651,0.874474,-5.37783,2.0309,11.7834,55.7808,0.472917,4.90372,30.3816,0.278952,3.88822,0.399828,2.78829,0.769865,96.9132,0.533333,8.80298,46.5658,2.46734,9.02971,3.12395,98.9825,19.8939,0.525009,0.39524,0.0871127,151.352,-1.13552,44.7188,5.96156,0.152419,0.186644
5,1,0.448118,1,0.602083,0.462842,0.755965,1.0722,0.544592,0.0206012,0.25572,140.551,134.866,121.25,26.1377,23.7876,22.6467,-1.12434,-0.434985,0.638238,77.4742,-0.409353,4.90761,6.14132,0.983585,1.97239,-1.62987,-1.33688,-1.66397,43.4345,0.4,7.76193,50.1678,0.123668,10.7539,0.109736,-6.80738,0.216032,160.683,0.527778,121.997,24.7623,1.18109,61.4164,7.74695,49.5696,24.5905,0.227044,0.332741,0.052955,87.9011,1.27124,13.2944,2.66938,0.50838,1.0574
6,1,0.00239583,0.0645833,0.0666667,0.615781,0.526235,0.0529439,0.0571187,0.166667,0.443548,233.089,195.266,137.084,28.691,27.7222,24.8743,-1.93636,-1.89178,-1.05529,90.5352,1.26307,18.6122,5.65182,1.45824,4.5333,-3.02329,1.56198,0.356483,82.2903,0.108333,-1.9282,34.5258,0.324081,12.0162,0.137435,2.13882,-1.74449,98.6557,0.402778,135.517,36.5404,1.14037,54.482,6.48465,66.1849,32.241,0.50751,0.588724,0.0648216,25.473,0.75812,18.3176,8.28163,0.0196238,0.300785
7,1,0.0761343,0.225,0.488889,0.879959,0.764172,0.213354,0.396691,0.0393737,0.30787,124.977,87.4381,65.6828,30.8244,41.7108,56.4838,1.13267,1.37333,1.2036,65.7309,8.0618,19.3539,10.5696,3.78623,15.3002,0.958659,-0.324112,-0.0908331,63.9413,0.211111,-0.448862,15.4709,0.29426,4.15737,0.123605,-0.765512,-5.57954,185.678,0.338889,159.2,23.4487,-0.424839,21.1092,10.7878,158.387,10.0682,0.226446,0.611561,0.0612662,24.2321,1.08623,36.6298,1.52116,0.0205729,0.206739
8,1,0.0883391,0.18125,0.583333,0.702426,0.604153,0.157315,0.572438,0.0355716,0.164477,19.5999,8.88169,3.08582,55.2898,29.1131,10.1751,3.12599,3.72253,4.92116,9.07,5.18768,5.3657,20.3116,11.6582,17.9874,2.59668,1.49466,1.87382,73.0732,1,0.407444,59.6897,0.894671,14.918,0.704847,0.568166,1.13578,111.758,0.583333,149.639,34.1792,0.615228,38.8355,16.4244,199.891,54.8864,0.125248,0.218932,0.032919,113.605,0.992873,33.7177,17.773,0.322257,1.01791
9,1,0.0402546,0.3,0.235417,0.351151,0.289639,0.293886,0.163225,0.0621047,0.430023,124.623,108.187,91.0663,75.2517,75.8696,66.5191,0.346566,0.403326,0.489434,66.3093,3.95474,9.48131,22.1341,5.64509,9.83822,-0.23306,1.85587,1.36727,67.981,1,-17.5766,75.8873,0.455456,7.11736,0.116834,3.54807,1.27368,40.4539,0.416667,59.8671,31.8492,0.25402,46.9566,20.8176,93.4895,38.1863,0.75337,0.182493,0.0605232,74.8998,3.96878,32.2133,13.386,0.0621875,0.976763
0,0,0.195677,0.9875,0.328125,0.418046,0.880221,0.833996,0.282281,0.0364653,0.396102,101.943,95.0211,59.4336,23.7271,19.9636,21.8734,-0.378229,-0.423563,-0.199549,66.6475,-3.7535,18.2314,6.56257,3.81862,6.07648,-0.997778,-0.75315,1.48252,47.6146,0.380556,-2.91445,35.1542,0.397445,9.67779,0.0568146,-0.931852,0.822746,68.8836,0.277083,90.6142,42.6844,-3.73746,37.3167,3.96245,142.323,28.6488,0.239276,0.702033,0.0289666,165.312,-0.516106,10.1158,4.72087,0.568027,0.0364371
1,0,0.0742578,0.425,0.315625,0.545907,0.107313,0.453738,0.25747,0.0492723,0.446418,234.909,231.639,225.9,10.2168,11.1547,12.1644,-6.56867,-5.50519,-4.79621,96.3543,0.0365424,1.48228,2.02512,0.427777,0.614175,-7.80562,-0.458576,3.59299,67.6373,0.0770833,-2.61628,39.489,0.211384,17.3046,0.516598,6.76653,3.11546,107.995,0.59375,175.408,37.0933,-0.104132,44.5519,14.8093,155.707,47.2191,0.541402,0.341765,0.0859625,169.591,-0.484579,44.5965,11.133,0.134612,0.126785
2,0,0.290122,1,0.60625,0.406707,0.494395,0.913071,0.388524,0.0216624,0.521449,57.4888,65.2204,67.9173,44.355,44.6251,41.0731,1.28755,1.2248,1.31917,53.2486,-2.52037,-3.87636,16.6319,2.52657,4.75835,0.177011,-0.423529,-0.935309,56.4891,1,3.52754,47.165,0.245528,3.23985,0.298615,22.2338,0.265839,102.934,0.45,88.2378,54.6911,0.781559,37.7759,3.709,206.468,30.3254,0.745088,0.131271,0.0553688,186.58,-0.194276,37.4577,20.7241,0.0372266,1.40108
3,0,0.0582581,0.65625,0.227778,0.746278,0.157949,0.660148,0.188278,0.0704281,0.610259,139.093,184.33,227.042,19.7511,12.3308,6.37504,2.60249,1.85805,0.0626011,86.802,-4.21818,-13.3624,2.43361,1.03299,2.79613,1.87286,1.5838,2.46902,49.3633,0.736111,25.4487,63.9162,0.147384,5.9268,0.208378,-5.71717,0.342,117.987,0.228125,124.676,20.9395,0.0926615,28.9326,3.67113,49.9145,19.8067,0.843111,0.0681411,0.0318371,129.024,0.614856,50.477,10.649,0.021956,0.53671
4,0,0.0460185,0.279167,0.244444,0.424329,0.186222,0.235685,0.21354,0.0394869,0.325645,93.1625,115.659,67.7025,39.1585,42.5896,31.8383,0.145897,0.00753531,0.396311,69.3365,-13.2117,18.5035,12.0558,4.57838,8.96888,-0.660408,-0.488429,0.730933,76.9125,0.964583,-4.16932,44.8729,0.141794,16.3353,0.900779,10.2599,0.326487,98.5255,0.305556,109.34,48.83,1.96601,39.0044,10.192,159.268,11.1165,0.489397,0.329497,0.0276432,123.901,0.0405055,12.7516,2.88491,0.0354051,1.00975
5,1,0.088724,0.4,0.271875,0.348935,0.299266,0.38824,0.238673,0.03801,0.184147,84.4861,97.846,111.366,59.2845,60.8931,66.7974,0.829506,0.402477,-0.0117818,63.2027,-2.35739,-5.10057,19.9109,10.4476,9.03799,-0.446473,1.77787,0.277079,79.5271,0.04375,1.29542,32.9162,0.218175,14.4852,0.355173,-6.28477,0.602066,188.055,0.313889,225.007,3.72764,1.25593,37.4544,6.84695,127.11,11.8294,0.434156,0.441667,0.0285622,106.591,1.69573,8.56882,18.4005,0.0512732,1.04152
6,1,0.0180093,0.0958333,0.241667,0.840641,0.197863,0.0859023,0.211548,0.0758355,0.222389,195.723,191.416,190.693,25.0176,23.4458,24.1093,-1.43609,-2.09091,-1.62577,89.3782,0.700008,0.463953,4.71948,2.35264,2.72372,-2.31131,-0.199951,0.975518,70.9034,0.789583,10.1624,9.51747,0.163668,3.40009,0.704569,3.37917,2.27217,241.679,0.25625,107.874,39.0551,5.02449,8.75007,10.7149,50.1137,30.2741,0.497768,0.582128,0.018113,199.512,0.740818,75.421,12.0661,0.127928,0.91048
7,1,0.311035,0.795833,0.525,0.479982,0.496344,0.692439,0.435451,0.0181476,0.255563,112.966,68.4115,72.7933,67.4373,55.1478,58.5622,0.25821,1.35314,1.31582,57.6666,15.0247,5.01738,19.2592,18.688,7.06626,-0.424238,0.201915,0.0946018,60.1157,0.680556,19.3141,42.9489,1.05805,18.5372,0.212834,-1.64612,1.31686,200.51,0.547222,232.276,36.2912,1.20707,51.4091,5.50499,135.568,50.2809,0.778294,0.203336,0.0283254,9.5927,-1.23476,28.7958,19.0561,0.0294618,1.16153
8,1,0.0325289,0.4,0.1875,0.755335,0.312144,0.395058,0.120392,0.0635118,0.566281,124.31,77.71,51.4657,47.7821,40.6911,35.2114,-0.246536,0.90064,1.16125,63.1036,10.2591,20.5138,11.0982,16.4863,12.7502,0.395429,0.282763,0.725142,50.2333,1,12.2398,41.9305,0.173668,12.854,0.183552,4.24386,1.92161,112.56,0.43125,162.685,16.3722,1.25298,28.797,17.2975,35.4209,48.9931,0.506889,0.324378,0.0196352,138.757,-0.040921,12.0785,11.7793,0.363235,1.04194
9,1,0.641829,1,1,0.481367,0.59309,1.15287,0.968558,0.0214739,0.358171,141.162,136.215,125.719,45.2749,40.8188,36.6413,-0.438218,0.21149,0.988917,77.0777,-0.302912,3.40939,10.4095,1.34461,4.17992,-0.916386,-1.41216,-1.4605,74.9945,0.460417,0.833488,41.4263,0.0917719,7.71913,0.518812,-2.62591,-0.593987,121.647,0.461111,157.907,5.77417,-0.154167,63.7774,6.46127,122.328,37.5894,0.303392,0.449078,0.0559389,181.063,0.235815,10.5879,10.6941,0.0765567,0.908783
0,0,0.0550694,0.14375,0.588889,0.791979,0.626039,0.115542,0.52542,0.0606347,0.349467,59.2143,54.4365,54.7417,45.6999,41.0596,38.0758,1.83772,1.93177,2.03079,50.2597,2.13011,-0.275649,15.2302,4.1376,6.47709,0.725462,-1.49479,2.61532,89.401,0.0458333,0.255454,22.3832,0.785173,16.7943,0.352941,0.304346,-5.97441,225.572,0.19375,96.0922,58.3952,1.50857,45.6542,12.7346,84.9597,62.8822,0.0561673,0.304599,0.0893,88.9847,0.219354,49.8011,2.59429,0.0597512,0.733412
1,0,0.0648322,0.327778,0.425,0.904925,0.764441,0.250688,0.469834,0.0530215,0.534605,243.315,237.847,225.115,19.139,18.641,20.6931,-4.53995,-3.06915,-2.75059,97.2844,-0.211793,3.17978,3.31035,1.44704,1.80976,-4.10478,-5.82026,0.0546581,33.8931,0.710417,2.79658,22.0648,0.251047,10.9211,0.296627,-2.82167,-4.68504,197.47,0.370833,114.52,12.8671,1.34768,27.3915,20.5647,218.786,75.5129,0.218972,0.4009,0.0477783,56.0754,-1.3309,12.7517,15.0928,0.219664,1.01324
2,0,0.0234375,0.275,0.128125,0.889183,0.876118,0.250795,0.101848,0.0855556,0.334812,79.9944,39.8125,36.7578,19.5832,18.4859,15.7394,0.396582,1.28488,1.33844,49.5211,17.1488,9.18471,8.27353,6.68799,3.32722,-0.135687,0.354653,1.94752,63.9641,0.58125,-0.82648,7.27061,0.111136,14.1581,0.0550745,-0.199473,0.419068,37.9097,0.544444,126.783,39.3613,2.30586,41.5558,3.04005,125.427,64.5271,0.560795,0.549911,0.0804038,141.454,-0.365083,48.5962,1.36307,0.188626,0.733634
3,0,0.345689,0.997222,0.385417,0.513354,0.402194,0.966271,0.353751,0.0166234,0.10058,132.295,118.659,98.8276,31.7175,33.2603,38.7084,1.20152,1.94618,2.43282,73.6331,0.819049,8.99499,7.38531,1.00797,6.84542,1.32307,0.298247,-0.183511,67.7423,0.529167,-6.19566,17.4545,0.51738,9.64891,0.0898226,0.517195,-0.349284,138.321,0.130556,103.05,25.1512,-2.58738,49.198,8.79246,99.9055,6.44021,0.494977,0.527259,0.0414381,129.901,1.30756,18.6359,5.05541,0.461111,0.234949
4,0,0.088235,0.416667,0.325,0.76675,0.127033,0.378368,0.255314,0.0364006,0.348419,78.4413,86.8602,68.1784,46.8244,51.6152,47.6798,0.569829,0.515939,0.755967,60.0773,-5.88509,9.73048,18.2236,8.33665,7.1085,-0.59856,0.0732674,1.27926,74.4108,0.758333,-0.731369,46.3631,0.275059,17.6902,0.394689,0.265444,0.683777,127.487,0.697917,105.391,20.7455,3.56535,46.7268,2.38326,16.6391,23.2337,0.346187,0.148244,0.0124375,97.5804,0.281428,21.1986,15.2149,0.00750579,0.113461
5,1,0.21603,0.80625,0.441667,0.569701,0.159263,0.807653,0.3488,0.0358157,0.393334,134.05,129.75,123.476,68.123,66.1389,65.0917,-0.169039,-0.21724,-0.21602,73.3265,0.245482,2.83958,17.996,2.45153,1.87827,-0.428063,3.00123,3.2407,86.8004,0.116667,0.170225,33.8055,0.0725749,20.5394,0.216926,5.14756,0.452817,174.432,0.408333,183.216,27.4108,-1.52348,37.4607,4.1086,114.854,66.4763,0.685227,0.278096,0.0404031,153.952,-0.523098,23.4763,9.01647,0.443727,0.0858093
